"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.317908546E1,-2.803553708E-1,-1.688985198E0,1.555251190E0
2.318912446E1,-6.804947184E-1,-1.536482505E0,1.002762986E0
2.319916246E1,-8.780912849E-1,-1.587902335E0,8.748873031E-1
2.320920146E1,-8.783561638E-1,-1.363277452E0,7.823381585E-1
2.321923946E1,-1.153276822E0,-7.999961650E-1,3.913664228E-1
2.322927746E1,-1.440176232E0,-1.015700389E0,-1.006451994E-1
2.323931646E1,-1.608159575E0,-1.066906576E0,-2.273783362E-1
2.324935446E1,-1.523473912E0,-7.977082226E-1,-3.470994920E-1
2.325939246E1,-1.422317227E0,-6.661734255E-1,-7.298938966E-1
2.326943146E1,-1.311440570E0,-6.075479988E-1,-1.054018509E0
2.327946946E1,-1.198884300E0,-4.410115129E-1,-1.614151363E0
2.328950746E1,-1.290794198E0,-4.589334482E-1,-1.975238564E0
2.329954646E1,-1.309114109E0,-5.984366116E-1,-2.111373439E0
2.330958446E1,-1.021804297E0,-6.047988573E-1,-2.240546034E0
2.331962346E1,-4.904664955E-1,-7.463121107E-2,-2.762039317E0
2.332966146E1,-4.099855654E-2,4.425304734E-1,-2.900532374E0
2.333969946E1,-1.424940507E-1,4.383091126E-1,-2.696214872E0
2.334973846E1,-2.617446518E-1,2.200936191E-1,-2.637757334E0
2.335977646E1,-2.610760593E-1,2.929751423E-1,-2.641000199E0
2.336981446E1,-5.659472521E-2,6.387552465E-1,-2.753282527E0
2.337985346E1,-3.113898151E-3,9.874210614E-1,-3.130040267E0
2.338989146E1,-4.729282837E-2,8.327615496E-1,-3.419546438E0
2.339992946E1,4.756450463E-2,5.047358213E-1,-3.241218055E0
2.340996846E1,-4.677385144E-2,1.617926325E0,-3.176469498E0
2.342000646E1,-4.942064111E-1,1.583735901E0,-2.387428676E0
2.343004446E1,-6.089365663E-1,1.056804999E0,-2.593717275E0
2.344008346E1,-8.366924134E-1,1.284070484E0,-1.824580375E0
